adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
l,l,l,0.88,0.1,0.02,1,WSA,1
l,l,m,0.65,0.25,0.1,1,WSA,2
l,l,h,0.507,0.175,0.318,1,WSA,3
l,m,l,0.41,0.425,0.165,1,WSA,4
l,m,m,0.38,0.365,0.255,1,WSA,5
l,m,h,0.371,0.275,0.354,1,WSA,6
l,h,l,0.374,0.325,0.301,1,WSA,7
l,h,m,0.344,0.265,0.391,1,WSA,8
l,h,h,0.335,0.175,0.49,1,WSA,9
m,l,l,0.321,0.5,0.179,1,WSA,10
m,l,m,0.291,0.44,0.269,1,WSA,11
m,l,h,0.282,0.35,0.368,1,WSA,12
m,m,l,0.15,0.6,0.25,1,WSA,13
m,m,m,0.2,0.6,0.2,1,WSA,14
m,m,h,0.146,0.45,0.404,1,WSA,15
m,h,l,0.149,0.5,0.351,1,WSA,16
m,h,m,0.119,0.44,0.441,1,WSA,17
m,h,h,0.11,0.35,0.54,1,WSA,18
h,l,l,0.231,0.25,0.519,1,WSA,19
h,l,m,0.201,0.19,0.609,1,WSA,20
h,l,h,0.192,0.1,0.708,1,WSA,21
h,m,l,0.095,0.35,0.555,1,WSA,22
h,m,m,0.05,0.4,0.55,1,WSA,23
h,m,h,0.056,0.2,0.744,1,WSA,24
h,h,l,0.059,0.25,0.691,1,WSA,25
h,h,m,0.029,0.19,0.781,1,WSA,26
h,h,h,0.02,0.1,0.88,1,WSA,27
l,l,l,0.7644,0.1658,0.0698,1,WSAAHP,1
l,l,m,0.6394,0.2737,0.0869,1,WSAAHP,2
l,l,h,0.4891,0.2775,0.2335,1,WSAAHP,3
l,m,l,0.4203,0.4416,0.1381,1,WSAAHP,4
l,m,m,0.3536,0.3287,0.3177,1,WSAAHP,5
l,m,h,0.3522,0.3516,0.2962,1,WSAAHP,6
l,h,l,0.4153,0.406,0.1788,1,WSAAHP,7
l,h,m,0.3486,0.2931,0.3583,1,WSAAHP,8
l,h,h,0.3472,0.316,0.3369,1,WSAAHP,9
m,l,l,0.2775,0.4989,0.2237,1,WSAAHP,10
m,l,m,0.2108,0.386,0.4033,1,WSAAHP,11
m,l,h,0.2094,0.4088,0.3818,1,WSAAHP,12
m,m,l,0.2819,0.6583,0.0598,1,WSAAHP,13
m,m,m,0.08,0.5364,0.3836,1,WSAAHP,14
m,m,h,0.0725,0.4829,0.4446,1,WSAAHP,15
m,h,l,0.1356,0.5373,0.3271,1,WSAAHP,16
m,h,m,0.0689,0.4244,0.5067,1,WSAAHP,17
m,h,h,0.0675,0.4473,0.4853,1,WSAAHP,18
h,l,l,0.2649,0.4098,0.3254,1,WSAAHP,19
h,l,m,0.1983,0.2969,0.5049,1,WSAAHP,20
h,l,h,0.1968,0.3197,0.4835,1,WSAAHP,21
h,m,l,0.128,0.4839,0.3881,1,WSAAHP,22
h,m,m,0.0598,0.2819,0.6583,1,WSAAHP,23
h,m,h,0.0599,0.3938,0.5462,1,WSAAHP,24
h,h,l,0.123,0.4482,0.4288,1,WSAAHP,25
h,h,m,0.0564,0.3353,0.6083,1,WSAAHP,26
h,h,h,0.0549,0.3582,0.5869,1,WSAAHP,27
l,l,l,0.7895,0.2077,0.0028,1,RNM,1
l,l,m,0.7282,0.2669,0.0049,1,RNM,2
l,l,h,0.6599,0.3315,0.0086,1,RNM,3
l,m,l,0.485,0.487,0.028,1,RNM,4
l,m,m,0.4009,0.5533,0.0458,1,RNM,5
l,m,h,0.3206,0.6006,0.0788,1,RNM,6
l,h,l,0.1688,0.6588,0.1724,1,RNM,7
l,h,m,0.1212,0.6418,0.237,1,RNM,8
l,h,h,0.0791,0.6116,0.3093,1,RNM,9
m,l,l,0.5746,0.409,0.0164,1,RNM,10
m,l,m,0.485,0.487,0.028,1,RNM,11
m,l,h,0.4009,0.5533,0.0458,1,RNM,12
m,m,l,0.2392,0.6428,0.118,1,RNM,13
m,m,m,0.1688,0.6588,0.1724,1,RNM,14
m,m,h,0.1212,0.6418,0.237,1,RNM,15
m,h,l,0.0519,0.5538,0.3943,1,RNM,16
m,h,m,0.0312,0.4832,0.4856,1,RNM,17
m,h,h,0.0184,0.412,0.5696,1,RNM,18
h,l,l,0.3206,0.6006,0.0788,1,RNM,19
h,l,m,0.2392,0.6428,0.118,1,RNM,20
